Segment	Phoneme	Notes
kʲː	kːʲ	NA
kʲʰ	kʰʲ	NA
kʲʼ	kʲʼ	NA
kʷ	kʷ	NA
kʷʰ	kʰʷ	NA
kʷʲ	kʲʷ	new segment type added
kʷʼ	kʷʼ	NA
kx	kx	NA
kxːʰ	kxːʰ	NA
kxːʼ	kxːʼ	NA
kʼ	kʼ	NA
kʼː	kːʼ	NA
kʼːʷ	kːʷʼ	NA
kʼʲ	kʲʼ	NA
kʼʷ	kʷʼ	NA
kʼʷʲ	kʲʷʼ	new segment type added
kˤ	kˤ	NA
l	l	NA
l̩	l̩	NA
l̺	l̺	NA
l̻	l̻	NA
l̪	l̪	NA
l̪̊	l̪̊	NA
l̥	l̥	NA
lː	lː	NA
l̥ː	l̥ː	NA
lˠ	lˠ	NA
l̪ˠ	l̪ˠ	NA
lʰ	lʰ	NA
lʱ	lʱ	NA
l̪ʱ	l̪ʱ	NA
lʲ	lʲ	NA
l̪ʲ	l̪ʲ	NA
l̠ʲ	l̠ʲ	NA
l̥ʲ	l̥ʲ	NA
lʲː	lːʲ	NA
l̥ʲː	l̥ːʲ	NA
lˤ	lˤ	NA
ɫ	ɫ	NA
ɫ̪	ɫ̪	NA
ɫ̻	ɫ̻	NA
ɫ̺	ɫ̺	NA
ɫ̥	ɫ̥	NA
ɫː	ɫː	NA
ɬ	ɬ	NA
ɬ̪	ɬ̪	NA
ɬ̺̪	ɬ̪̺	NA
ɬː	ɬː	NA
ɬˠ	ɬˠ	NA
ɬʲ	ɬʲ	NA
ɬʷ	ɬʷ	NA
ɬʼ	ɬʼ	NA
ɭ	ɭ	NA
ɭ̥	ɭ̥	NA
ɮ	ɮ	NA
ɮ̺	ɮ̺	NA
ɮʲ	ɮʲ	NA
ɮʼ	ɮʼ	NA
ʎ	ʎ	NA
ʎ̟	ʎ̟	NA
m	m	NA
m̩	m̩	NA
m̥	m̥	NA
m 	m	conventionalized
mː	mː	NA
m̥ː	m̥ː	NA
mˠ	mˠ	NA
mʰ	mʰ	NA
mʱ	mʱ	NA
mʲ	mʲ	NA
m̥ʲ	m̥ʲ	NA
mʲː	mːʲ	NA
m̥ʲː	m̥ːʲ	NA
mʷ	mʷ	NA
mˤ	mˤ	NA
n	n	NA
n̩	n̩	NA
n̪	n̪	NA
n̻	n̻	NA
n̺	n̺	NA
n̪̊	n̪̊	NA
n̺̪	n̪̺	NA
n̪̩	n̪̩	NA
n̪̥	n̪̥	NA
n̥	n̥	NA
n̥̪	n̪̥	NA
nː	nː	NA
n̥ː	n̥ː	NA
ⁿb	mb	conventionalized
ⁿc	ɲc	conventionalized
ⁿcʰ	ɲcʰ	conventionalized
ⁿd	nd	conventionalized
ⁿd̪	n̪d̪	conventionalized
ⁿdz	ndz	conventionalized
ⁿd͇z͇	n͇d͇z͇	conventionalized
ⁿd̪z̪	n̪d̪z̪	conventionalized
ⁿdʑ	ndʑ	conventionalized
ⁿdʒ	n̠d̠ʒ	conventionalized
ⁿɖ	ɳɖ	conventionalized
ⁿɖɽ	ɳɖɽ	conventionalized
ⁿɖʐ	ɳɖʐ	conventionalized
ⁿg	ŋɡ	conventionalized
ⁿɡ	ŋɡ	conventionalized
ⁿɢ	ɴɢ	conventionalized
nˠ	nˠ	NA
n̪ˠ	n̪ˠ	NA
nʰ	nʰ	NA
nʱ	nʱ	NA
n̪ʱ	n̪ʱ	NA
nʲ	nʲ	NA
n̠ʲ	n̠ʲ	NA
n̪ʲ	n̪ʲ	NA
n̥ʲ	n̥ʲ	NA
nʲː	nːʲ	NA
n̥ʲː	n̥ːʲ	NA
ⁿɟ	ɲɟ	conventionalized
ⁿk	ŋk	conventionalized
ⁿkʰ	ŋkʰ	conventionalized
ⁿp	mp	conventionalized
ⁿpʰ	mpʰ	conventionalized
ⁿq	ɴq	conventionalized
ⁿqʰ	ɴqʰ	conventionalized
ⁿsʰ	nsʰ	conventionalized
ⁿt	nt	conventionalized
ⁿtɕʰ	ntɕʰ	conventionalized
ⁿtʰ	ntʰ	conventionalized
ⁿts	nts	conventionalized
ⁿtsʰ	ntsʰ	new segment type added
ⁿt͇s͇ʰ	n͇t͇s͇ʰ	conventionalized
ⁿt̪s̪ʰ	n̪t̪s̪ʰ	conventionalized
ⁿtʃ	n̠t̠ʃ	conventionalized
ⁿtʃʰ	n̠t̠ʃʰ	conventionalized
ⁿʈʰ	ɳʈʰ	conventionalized
ⁿʈɽʰ	ɳʈɽʰ	conventionalized
ⁿʈʂ	ɳʈʂ	conventionalized
ⁿʈʂʰ	ɳʈʂʰ	conventionalized
ⁿxʰ	ŋxʰ	conventionalized
nˤ	nˤ	NA
