InventoryID	LanguageCode	LanguageName	Phoneme	PhonemeOld	Allophones	AllophonesOld	Notes	NotesTwo
	aka	Akan	l	l
	aka	Akan	n	n			added based upon AA, not in Chanard	confirmed in Dolphyne
	aka	Akan	o	o
	aka	Akan	p	p
	aka	Akan	s	s
	aka	Akan	r	r
	aka	Akan	u	u
	aka	Akan	t	t
	aka	Akan	w	w
	aka	Akan	kʷ	kw			is /w/ its own phoneme or is it labialization?	see new inventory
	aka	Akan	nʷ	nw			is /w/ its own phoneme or is it labialization?	see new inventory

656	bss	Akɔɔse (Bakossi)	˦	˦				Hedinger 2008: H, L, downstepped-H, HL, LH, H-downstepped-H, LHL
	bss	Akɔɔse (Bakossi)	˨	˨
	bss	Akɔɔse (Bakossi)	˦˨	˦˨
	bss	Akɔɔse (Bakossi)	˨˦	˨˦
	bss	Akɔɔse (Bakossi)	ʔ	ʔ
	bss	Akɔɔse (Bakossi)	t̠ʃ	ʧ
	bss	Akɔɔse (Bakossi)	d̠ʒ	ʤ				added from Hedinger (2008)
	bss	Akɔɔse (Bakossi)	nd	nd
	bss	Akɔɔse (Bakossi)	nz	nz
	bss	Akɔɔse (Bakossi)	ŋɡ	ŋɡ
	bss	Akɔɔse (Bakossi)	ɔ	ɔ
	bss	Akɔɔse (Bakossi)	ə	ə
	bss	Akɔɔse (Bakossi)	ɛ	ɛ
	bss	Akɔɔse (Bakossi)	a	a
	bss	Akɔɔse (Bakossi)	b	b
	bss	Akɔɔse (Bakossi)	e	e
	bss	Akɔɔse (Bakossi)	d	d
	bss	Akɔɔse (Bakossi)	ɡ	ɡ
	bss	Akɔɔse (Bakossi)	mb	mb
	bss	Akɔɔse (Bakossi)	i	i
	bss	Akɔɔse (Bakossi)	h	h
	bss	Akɔɔse (Bakossi)	k	k
	bss	Akɔɔse (Bakossi)	j	j
	bss	Akɔɔse (Bakossi)	m	m
	bss	Akɔɔse (Bakossi)	l	l
	bss	Akɔɔse (Bakossi)	o	o
	bss	Akɔɔse (Bakossi)	n	n
	bss	Akɔɔse (Bakossi)	p	p
	bss	Akɔɔse (Bakossi)	s	s
	bss	Akɔɔse (Bakossi)	ɲ	ɲ
	bss	Akɔɔse (Bakossi)	ŋ	ŋ				added from Hedinger 2008
	bss	Akɔɔse (Bakossi)	u	u
	bss	Akɔɔse (Bakossi)	t	t
	bss	Akɔɔse (Bakossi)	w	w
	bss	Akɔɔse (Bakossi)	iː	iː				confirmed in Hedinger 2008
	bss	Akɔɔse (Bakossi)	eː	eː				confirmed in Hedinger 2008
	bss	Akɔɔse (Bakossi)	ɛː	ɛː				confirmed in Hedinger 2008
	bss	Akɔɔse (Bakossi)	uː	uː				confirmed in Hedinger 2008
	bss	Akɔɔse (Bakossi)	oː	oː				confirmed in Hedinger 2008
	bss	Akɔɔse (Bakossi)	ɔː	ɔː				confirmed in Hedinger 2008
	bss	Akɔɔse (Bakossi)	aː	aː				confirmed in Hedinger 2008
	bss	Akɔɔse (Bakossi)	əː	əː				confirmed in Hedinger 2008
