InventoryID	BibtexKey	Source
549	Hasselbrink1965	upsid
549	Kert1971	upsid
550	WheelerWheeler1962	upsid
551	Clayre1973	upsid
552	Andrzejewsky1955	upsid
552	Andrzejewsky1956	upsid
552	Armstrong1964	upsid
552	Cardona1981	upsid
552	Farnetani1981	upsid
553	Harris1969	upsid
553	Navarro1961	upsid
553	SaportaContreras1962	upsid
554	McElhanon1970a	upsid
554	McElhanon1970b	upsid
555	Johnstone1975	upsid
555	Leslau1938	upsid
556	Priest1968	upsid
557	Wurm1972b	upsid
558	Wilson1969	upsid
559	Todd1975	upsid
560	Li1948	upsid
561	Mazaudon1973	upsid
562	Egerod1966	upsid
563	Hanke1956	upsid
564	TuckerBryan1966	upsid
565	Anderson1962	upsid
565	Anderson1959	upsid
566	Bhat1967	upsid
567	Gerzenstein1968	upsid
568	Kelley1963	upsid
568	Kostic_etal1977	upsid
568	Krishnamurti1961	upsid
568	Lisker1963	upsid
568	Sastry1972	upsid
569	Dalby1966	upsid
569	Wilson1961	upsid
570	TuckerBryan1966	upsid
571	Morris1984	upsid
572	Beaumont1979	upsid
573	Bloomfield1917	upsid
573	SchachterOtanes1972	upsid
574	Abramson1962	upsid
574	Haas1956	upsid
574	Haas1964	upsid
574	Kruatrachue1960	upsid
574	Noss1954	upsid
574	Noss1964	upsid
575	Prasse1972	upsid
576	Klingenheben1966	upsid
576	Palmer1962	upsid
577	Osborne1974	upsid
577	Lee1983	upsid
577	Lee1984	upsid
578	Post1966	upsid
578	Schlegel1971	upsid
579	StoryNaish1973	upsid
579	Swanton1909	upsid
579	Swanton1911	upsid
580	Schadeberg1981b	upsid
581	TuckerBryan1966	upsid
582	Voorhoeve1965	upsid
583	Key1968	upsid
583	Van-Wynen1962	upsid
584	Lynch1978	upsid
585	Aschmann1946	upsid
586	Bergman_etal1969	upsid
587	Suarez1983	upsid
588	Trumai1975	upsid
589	Brown1973	upsid
590	Hoijer1946	upsid
590	Hoijer1949	upsid
590	Hoijer1972	upsid
591	Garbell1965	upsid
592	Dunn1978	upsid
