InventoryID	LanguageCode	Glottocode	BibtexKey	Source
203	agm	anga1290	Huisman_etal1981	upsid
203	agm	anga1290	HuismanLloyd1981	upsid
204	agq	aghe1239	Hyman1979	upsid
205	ahp	apro1235	Herault1971	upsid
206	aht	ahte1237	Kari1979	upsid
206	aht	ahte1237	KariBuck1975	upsid
207	ain	ainu1240	Patrie1982	upsid
207	ain	ainu1240	Simeon1969	upsid
208	aka	akan1250	Dolphyne1988	upsid
208	aka	akan1250	Ladefoged1964	upsid
208	aka	akan1250	SchachterFromkin1968	upsid
208	aka	akan1250	Stewart1967	upsid
208	aka	akan1250	Welmers1946	upsid
209	ake	akaw1239	Edwards1978	upsid
210	akz	alab1237	Rand1968	upsid
211	alc	qawa1238	Clairis1977	upsid
212	ald	alla1248	Duponchel1971	upsid
212	ald	alla1248	DumestreDuponchel1971	upsid
213	ale	aleu1260	Bergsland1956	upsid
213	ale	aleu1260	Bergsland1959	upsid
213	ale	aleu1260	Jakobson1944	upsid
213	ale	aleu1260	Menovshchikov1968	upsid
214	alh	alaw1244	Sharpe1972	upsid
215	als	tosk1239	Newmark1957	upsid
216	amc	amah1246	Osborn1948	upsid
217	ame	yane1238	Fast1953	upsid
217	ame	yane1238	Wise1958	upsid
218	amf	hame1242	Lydall1976	upsid
219	amh	amha1245	Klingenheben1966	upsid
219	amh	amha1245	Leslau1968	upsid
219	amh	amha1245	Sumner1957	upsid
220	amo	amoo1242	Anderson1980	upsid
220	amo	amoo1242	Di-Luzio1972	upsid
221	amp	alam1246	Bruce1984	upsid
222	amu	guer1243	Bauernschmidt1965	upsid
222	amu	guer1243	Longacre1966	upsid
223	anc	ngas1240	Burquest1971	upsid
224	ano	ando1256	Landaburu1979	upsid
225	ant	anta1253	Douglas1955	upsid
225	ant	anta1253	Douglas1964	upsid
226	apn	apin1244	BurgessHam1968	upsid
227	apq	apuc1241	Brown1914	upsid
227	apq	apuc1241	VoegelinVoegelin1966	upsid
228	aqc	arch1244	Kodzasov1977	upsid
229	arl	arab1268	Rich1963	upsid
230	arn	mapu1245	EcheverriaContreras1965	upsid
230	arn	mapu1245	Key1978	upsid
231	arz	egyp1253	Kennedy1960	upsid
231	arz	egyp1253	Mitchell1962	upsid
231	arz	egyp1253	Tomiche1964	upsid
232	auc	waor1240	SaintPike1962	upsid
233	ava	avar1256	Charachidze1981	upsid
233	ava	avar1256	Zhirkov1936	upsid
234	awn	awng1244	Hetzron1969	upsid
235	axb	abip1241	Najlis1966	upsid
236	azj	nort2697	HouseholderLofti1965	upsid
237	bak	bash1264	Poppe1964	upsid
238	bam	bamb1269	Bird_etal1977	upsid
239	bao	waim1255	StolteStolte1971	upsid
240	bba	baat1238	Welmers1952	upsid
241	bbc	bata1289	vanderTuuk1971	upsid
242	bbl	bats1242	Desheriev1953	upsid
243	bbo	nort2819	leBrisProst1981	upsid
243	bbo	nort2819	Morse1976	upsid
244	bca	cent2004	Dell1981	upsid
245	bcj	bard1255	Metcalfe1971	upsid
246	bcs	kohu1244	Cook1969a	upsid
247	bdl	indo1317	Verheijen1986	upsid
248	bdy	band1339	Cunningham1969	upsid
249	bej	beja1238	Hudson1974	upsid
249	bej	beja1238	Hudson1976	upsid
250	ben	beng1280	FergusonChowdhury1960	upsid
251	beq	beem1239	Jacquot1962	upsid
251	beq	beem1239	Jacquot1981	upsid
252	bev	dalo1238	WerleGbalehi1976	upsid
253	bib	biss1248	Naden1973b	upsid
253	bib	biss1248	Naden1973	upsid
254	bkq	baka1277	Wheatley1973	upsid
254	bkq	baka1277	Wheatley1969	upsid
255	blc	bell1243	Nater1984	upsid
255	blc	bell1243	Newman1947	upsid
256	bmr	muin1242	WaltonWalton1967	upsid
257	bom	bero1242	Bouquiaux1970	upsid
257	bom	bero1242	Wolff1959	upsid
258	bor	boro1282	Crowell1979	upsid
259	brb	lave1249	Keller1976	upsid
260	bre	bret1244	Bothorel1982	upsid
260	bre	bret1244	Ternes1970	upsid
261	brh	brah1256	De-Armond1975	upsid
261	brh	brah1256	Emeneau1937	upsid
