"InventoryID","ISO6393","Glottocode","LanguageName","Source"
370,"irk","iraq1241","IRAQW","upsid"
371,"irn","iran1263","IRANXE","upsid"
372,"iso","isok1239","ISOKO","upsid"
373,"itl","itel1242","ITELMEN","upsid"
374,"ito","iton1250","ITONAMA","upsid"
375,"ium","iumi1238","MIEN","upsid"
376,"ivv","ivat1242","IVATAN","upsid"
377,"iwm","iwam1256","IWAM","upsid"
378,"jac","popt1235","JACALTEC","upsid"
379,"jao","yany1243","YANYUWA","upsid"
380,"jav","java1254","JAVANESE","upsid"
381,"jeb","jebe1250","JEBERO","upsid"
382,"jic","toll1241","TOL","upsid"
383,"jiv","shua1257","JIVARO","upsid"
384,"jpn","nucl1643","JAPANESE","upsid"
385,"jqr","jaqa1244","JAQARU","upsid"
386,"jru","japr1238","JAPRERIA","upsid"
387,"kac","kach1280","JINGPHO","upsid"
388,"kal","kala1399","INUIT","upsid"
389,"kas","kash1277","KASHMIRI","upsid"
390,"kat","nucl1302","GEORGIAN","upsid"
391,"kbd","kaba1278","KABARDIAN","upsid"
392,"kbh","cams1241","CAMSA","upsid"
393,"kbk","gras1249","KOIARI","upsid"
394,"kbr","kafa1242","KEFA","upsid"
395,"kbv","dera1245","DERA","upsid"
396,"kca","khan1273","KHANTY","upsid"
397,"kek","kekc1242","K'EKCHI","upsid"
398,"ker","kera1255","KERA","upsid"
399,"ket","kett1243","KET","upsid"
400,"kfe","kota1263","KOTA","upsid"
401,"kff","koya1251","KOYA","upsid"
402,"kgp","kain1272","KAINGANG","upsid"
403,"kha","khas1269","KHASI","upsid"
404,"khb","luuu1242","LUE","upsid"
405,"khk","halh1238","KHALKHA","upsid"
406,"khl","lusi1240","KALIAI","upsid"
407,"khm","cent1989","KHMER","upsid"
408,"khr","khar1287","KHARIA","upsid"
409,"kio","kiow1266","KIOWA","upsid"
410,"kir","kirg1245","KIRGHIZ","upsid"
411,"kjd","sout2949","SOUTHERN KIWAI","upsid"
412,"kjg","khmu1256","KHMU?","upsid"
413,"kjq","west2632","ACOMA","upsid"
414,"kjs","east2516","KEWA","upsid"
415,"kkw","teke1280","TEKE","upsid"
416,"kla","klam1254","KLAMATH","upsid"
417,"klu","klao1243","KLAO","upsid"
418,"kmo","kwom1262","KWOMA","upsid"
419,"kmr","nort2641","KURDISH","upsid"
420,"kna","dera1248","KANAKURU","upsid"
421,"knc","cent2050","KANURI","upsid"
422,"knn","konk1267","KONKANI","upsid"
423,"kor","kore1280","KOREAN","upsid"
424,"kpk","kpan1246","KPAN","upsid"
425,"kpm","koho1244","SRE","upsid"
426,"kpv","komi1268","KOMI","upsid"
427,"kpy","kory1246","KORYAK","upsid"
428,"kpz","kups1238","SEBEI","upsid"
429,"kru","kuru1302","KURUKH","upsid"
430,"ksw","sgaw1245","KAREN","upsid"
431,"ktg","kalk1246","KALKATUNGU","upsid"
432,"ktz","juho1239","!XU","upsid"
433,"kun","kuna1268","KUNAMA","upsid"
434,"kup","kuni1267","KUNIMAIPA","upsid"
435,"kvn","bord1248","CUNA","upsid"
436,"kwd","kwai1243","KWAIO","upsid"
437,"kwk","kwak1269","KWAKW'ALA","upsid"
438,"kyh","karo1304","KAROK","upsid"
439,"lbc","lakk1238","LAKKIA","upsid"
440,"lbe","lakk1252","LAK","upsid"
441,"lef","lele1264","LELEMI","upsid"
442,"lgg","lugb1240","LUGBARA","upsid"
443,"lhu","lahu1253","LAHU","upsid"
444,"lit","lith1251","LITHUANIAN","upsid"
445,"lkt","lako1247","DAKOTA","upsid"
446,"lme","peve1243","LAME","upsid"
447,"lui","luis1253","LUISENO","upsid"
448,"luo","luok1236","LUO","upsid"
449,"lut","lush1252","LUSHOOTSEED","upsid"
450,"maq","chiq1250","MAZATEC","upsid"
451,"mas","masa1300","MAASAI","upsid"
452,"maz","cent2144","MAZAHUA","upsid"
453,"mbl","maxa1247","MAXAKALI","upsid"
454,"mcu","came1252","MAMBILA","upsid"
455,"mdd","mbum1254","MBUM","upsid"
456,"mde","maba1277","MABA","upsid"
457,"mdx","dizi1235","DIZI","upsid"
458,"mfc","mbaa1245","MBA-NE","upsid"
459,"mhj","mogh1245","MOGHOL","upsid"
460,"mhr","east2328","MARI","upsid"
461,"mig","sanm1295","MIXTEC","upsid"
462,"mjg","tuuu1240","MONGUOR","upsid"
463,"mnc","manc1252","MANCHU","upsid"
464,"moq","morb1239","MOR","upsid"
465,"mor","moro1285","MORO","upsid"
466,"mpb","mull1237","MALAKMALAK","upsid"
467,"mph","maun1240","MAUNG","upsid"
468,"mps","dadi1250","DADIBI","upsid"
